cycle,branch,expression,forecastdate,seatprob_Dparty,seatprob_Rparty,seatsheld,simulations,timestamp,chamber_Dparty,chamber_Rparty
,Senate,_lite,9/23/22,,,99,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,98,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,97,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,96,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,95,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,94,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,93,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,92,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,91,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,90,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,9,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,89,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,88,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,87,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,86,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,85,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,84,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,83,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,82,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,81,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,80,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,8,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,79,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,78,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,77,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,76,40000,15:23:21 23 Sep 2022,,
,Senate,_lite,9/23/22,,,75,40000,15:23:21 23 Sep 2022,,
